Job_Index;Job_Title;Company_Name;Job_Location;Tasks;Skills;Job_Search_Term;text;Cluster;Cluster_Label
235;Business Analyst – Fonds immobiliers & gestion de portefeuille (f/m/d) | 80–100%| Lausanne ou Zurich;SMG Swiss Marketplace Group;Lausanne, Switzerland;Stefan Brüesch - Head of Portfolio Management -  LinkedIn | Nick Brandstrup - Head of Product Management -  LinkedIn | Jonathan Matray - Senior Consultant -  LinkedIn | L’analyse des exigences fonctionnelles: Recueillir les besoins métier de nos clients et les transformer en concepts clairs, structurés et techniquement réalisables. | Gérer les projets de développement: Coordonner les lots de travail et les plannings avec les parties prenantes afin de garantir une livraison dans les délais et la qualité attendue. | Accompagner l’équipe de développement: Suivre le cycle de développement des nouvelles fonctionnalités et assurer leur alignement avec les attentes utilisateurs. | Soutenir les activités commerciales: Collaborer avec l’équipe Sales pour la création d’offres commerciales et la présentation des nouvelles fonctionnalités aux prospects et clients. | Assurer une veille produit & marché: Rester à l’écoute des tendances du secteur et des retours utilisateurs afin d’identifier des pistes d’amélioration ou d’innovation. | Expérience dans le domaine des fonds:  Tu possèdes une expérience concrète dans le domaine des fonds immobiliers et comprends leurs besoins métier. | Formation: Tu es titulaire d’un Bachelor ou d’un Master en économie, en immobilier, en informatique ou dans une discipline équivalente. | Orientation produit:  Tu as déjà travaillé avec des solutions digitales dans le domaine de l’immobilier, idéalement en tant que Product Owner, Business Analyst ou Requirements Engineer. | Compétences en communication:  Tu fais le lien entre les équipes métier et techniques, animes des ateliers et formules les besoins de manière claire et précise. | Sens des responsabilités: Tu assumes pleinement tes responsabilités, respectes les délais et assures des livrables fiables. | Langues:  Tu communiques aisément en français et en anglais. L’allemand est un atout. | 6 semaines de vacances (avec la possibilité d’acheter jusqu’à 10 jours supplémentaires) | Une semaine de 40 heures | 18 semaines de congé maternité et 6 semaines de congé paternité – également en cas d’adoption | Des modalités de travail flexibles (nous attachons une grande importance à l’équilibre entre vie professionnelle et vie privée) | Accès à des plateformes de santé mentale, de bien-être et de conseil | Carte demi-tarif pour les transports publics suisses et voyages en première classe entre les sites SMG en Suisse;Entretien téléphonique de présélection | Évaluation technique / Rencontre avec le ou la responsable du recrutement | Entretien de compatibilité avec l’équipe;Business Analyst;Stefan Brüesch - Head of Portfolio Management -  LinkedIn | Nick Brandstrup - Head of Product Management -  LinkedIn | Jonathan Matray - Senior Consultant -  LinkedIn | L’analyse des exigences fonctionnelles: Recueillir les besoins métier de nos clients et les transformer en concepts clairs, structurés et techniquement réalisables. | Gérer les projets de développement: Coordonner les lots de travail et les plannings avec les parties prenantes afin de garantir une livraison dans les délais et la qualité attendue. | Accompagner l’équipe de développement: Suivre le cycle de développement des nouvelles fonctionnalités et assurer leur alignement avec les attentes utilisateurs. | Soutenir les activités commerciales: Collaborer avec l’équipe Sales pour la création d’offres commerciales et la présentation des nouvelles fonctionnalités aux prospects et clients. | Assurer une veille produit & marché: Rester à l’écoute des tendances du secteur et des retours utilisateurs afin d’identifier des pistes d’amélioration ou d’innovation. | Expérience dans le domaine des fonds:  Tu possèdes une expérience concrète dans le domaine des fonds immobiliers et comprends leurs besoins métier. | Formation: Tu es titulaire d’un Bachelor ou d’un Master en économie, en immobilier, en informatique ou dans une discipline équivalente. | Orientation produit:  Tu as déjà travaillé avec des solutions digitales dans le domaine de l’immobilier, idéalement en tant que Product Owner, Business Analyst ou Requirements Engineer. | Compétences en communication:  Tu fais le lien entre les équipes métier et techniques, animes des ateliers et formules les besoins de manière claire et précise. | Sens des responsabilités: Tu assumes pleinement tes responsabilités, respectes les délais et assures des livrables fiables. | Langues:  Tu communiques aisément en français et en anglais. L’allemand est un atout. | 6 semaines de vacances (avec la possibilité d’acheter jusqu’à 10 jours supplémentaires) | Une semaine de 40 heures | 18 semaines de congé maternité et 6 semaines de congé paternité – également en cas d’adoption | Des modalités de travail flexibles (nous attachons une grande importance à l’équilibre entre vie professionnelle et vie privée) | Accès à des plateformes de santé mentale, de bien-être et de conseil | Carte demi-tarif pour les transports publics suisses et voyages en première classe entre les sites SMG en Suisse Entretien téléphonique de présélection | Évaluation technique / Rencontre avec le ou la responsable du recrutement | Entretien de compatibilité avec l’équipe;3;Business / Communication
239;Business Development Manager - Industry (a);Erni Schweiz AG;Bern;Akquisition von Neukunden im Industrie-Bereich durch gezielte Vertriebsstrategien und Networking | Verantwortung für den strukturierten Ausbau und die Pflege von Bestandskunden | Enge Zusammenarbeit mit internen Teams, um massgeschneiderte Lösungen für Kunden zu entwickeln | Marktbeobachtung und Identifikation von Trends zur Weiterentwicklung des Geschäftsbereichs;Abgeschlossenes Studium in Informatik, Wirtschaftsinformatik oder einer vergleichbaren Fachrichtung (ETH, Uni, FH oder HF) | Langjährige Erfahrung in der Betreuung und dem Ausbau von Bestandskunden sowie nachweisliche Erfolge in der Neukundenakquise | Sehr gutes Verständnis des Software Delivery Life Cycle und des IT Consulting Business | Erfahrung als IT-Projektleiter, Business Analyst, Softwareentwickler oder ähnlicher Rolle von Vorteil | Gut vernetzt in der Industrie-Branche in der Schweiz, idealerweise im Grossraum Bern | Ausgezeichnete Kommunikationsfähigkeiten in Deutsch und Englisch;Business Analyst;Akquisition von Neukunden im Industrie-Bereich durch gezielte Vertriebsstrategien und Networking | Verantwortung für den strukturierten Ausbau und die Pflege von Bestandskunden | Enge Zusammenarbeit mit internen Teams, um massgeschneiderte Lösungen für Kunden zu entwickeln | Marktbeobachtung und Identifikation von Trends zur Weiterentwicklung des Geschäftsbereichs Abgeschlossenes Studium in Informatik, Wirtschaftsinformatik oder einer vergleichbaren Fachrichtung (ETH, Uni, FH oder HF) | Langjährige Erfahrung in der Betreuung und dem Ausbau von Bestandskunden sowie nachweisliche Erfolge in der Neukundenakquise | Sehr gutes Verständnis des Software Delivery Life Cycle und des IT Consulting Business | Erfahrung als IT-Projektleiter, Business Analyst, Softwareentwickler oder ähnlicher Rolle von Vorteil | Gut vernetzt in der Industrie-Branche in der Schweiz, idealerweise im Grossraum Bern | Ausgezeichnete Kommunikationsfähigkeiten in Deutsch und Englisch;3;Business / Communication
240;Head Business Line IFIS;ARX Gruppe AG;Graubünden, Grono or remote;Define and execute the strategy for IFI-related business opportunities. | Monitor and analyze multilateral procurement notices and funding programs to identify relevant opportunities for engineering services. | Coordinate the preparation of technical and administrative proposals in response to international tendersBuild and maintain strong relationships with key contacts at IFIs, donor agencies, government bodies, and NGOs. | Represent the Group in conferences, international missions, and industry forums to enhance Work closely with internal technical teams to design compliant, high-quality proposals aligned with IFI requirements. | Lead and mentor a dedicated IFI team or coordinate cross-functional resources involved in international bidding and delivery. | Promote internal capacity-building on IFI procedures, procurement rules, and technical standards.;"Master's or Bachelor's degree in Engineering, Business Administration, or related field. | Minimum 15 years of experience in civil infrastructure projects. | At least 5 years experiance in a senior sales management role, with responsability over international markets or multi-region project portfolios. | Experience in leading multidisciplinary teams. | Solid unterstanding of tendering procedures, public procurement regulations, and contract negotiation in the civil engineering field. | Experience in dealing with government bodies, international clients, and/or Join Venture partners. | Fluent in English (spoken and written); additional proficiency in French, German, italian. | Strong communication, organizational, and problem-solving skills.";Business Analyst;"Define and execute the strategy for IFI-related business opportunities. | Monitor and analyze multilateral procurement notices and funding programs to identify relevant opportunities for engineering services. | Coordinate the preparation of technical and administrative proposals in response to international tendersBuild and maintain strong relationships with key contacts at IFIs, donor agencies, government bodies, and NGOs. | Represent the Group in conferences, international missions, and industry forums to enhance Work closely with internal technical teams to design compliant, high-quality proposals aligned with IFI requirements. | Lead and mentor a dedicated IFI team or coordinate cross-functional resources involved in international bidding and delivery. | Promote internal capacity-building on IFI procedures, procurement rules, and technical standards. Master's or Bachelor's degree in Engineering, Business Administration, or related field. | Minimum 15 years of experience in civil infrastructure projects. | At least 5 years experiance in a senior sales management role, with responsability over international markets or multi-region project portfolios. | Experience in leading multidisciplinary teams. | Solid unterstanding of tendering procedures, public procurement regulations, and contract negotiation in the civil engineering field. | Experience in dealing with government bodies, international clients, and/or Join Venture partners. | Fluent in English (spoken and written); additional proficiency in French, German, italian. | Strong communication, organizational, and problem-solving skills.";3;Business / Communication
242;Business Analyst Sumex;Centris AG;Solothurn;Du analysierst fachliche Kundenanforderungen und erarbeitest Lösungen und Spezifikationen zusammen mit Spezialisten aus Entwicklung und Technik auf Basis von Business Requirements und mittels Parametrierung | Du modellierst und optimierst Geschäftsprozesse zusammen mit den Kunden im Kranken- oder Unfallversicherungsbereich, insbesondere im Bereich der Leistungen | Du unterstützt tatkräftig die kontinuierliche Verbesserung in der automatischen Rechnungsprüfung und trägst nachhaltig dazu bei Kosten zu sparen | Mit deinem Fachwissen entwickelst du Sumex weiter und wirkst auch bei Neuentwicklungen mit | Du stellst den Betrieb des Business Services Sumex sowie dessen Umsysteme sicher | Du wirkst bei spannenden Kundenprojekten sowie bei der Releaseplanung/-einführung mit;Abgeschlossene Berufsbildung in IT oder im kaufmännischen Bereich mit ausgeprägtem Interesse und Affinität zur IT | Berufserfahrung in der methodischen Analyse, Konzepterstellung und Spezifikation von Business Anforderungen | Erfahrung in der Sumex-Suite oder mit SQL von Vorteil;Business Analyst;Du analysierst fachliche Kundenanforderungen und erarbeitest Lösungen und Spezifikationen zusammen mit Spezialisten aus Entwicklung und Technik auf Basis von Business Requirements und mittels Parametrierung | Du modellierst und optimierst Geschäftsprozesse zusammen mit den Kunden im Kranken- oder Unfallversicherungsbereich, insbesondere im Bereich der Leistungen | Du unterstützt tatkräftig die kontinuierliche Verbesserung in der automatischen Rechnungsprüfung und trägst nachhaltig dazu bei Kosten zu sparen | Mit deinem Fachwissen entwickelst du Sumex weiter und wirkst auch bei Neuentwicklungen mit | Du stellst den Betrieb des Business Services Sumex sowie dessen Umsysteme sicher | Du wirkst bei spannenden Kundenprojekten sowie bei der Releaseplanung/-einführung mit Abgeschlossene Berufsbildung in IT oder im kaufmännischen Bereich mit ausgeprägtem Interesse und Affinität zur IT | Berufserfahrung in der methodischen Analyse, Konzepterstellung und Spezifikation von Business Anforderungen | Erfahrung in der Sumex-Suite oder mit SQL von Vorteil;1;General Data Science
244;IT Business Analyst Healthcare;Nicht offengelegter Arbeitgeber;Echandens;"Vous évaluez les processus d'entreprise, anticipez les besoins, découvrez les domaines à améliorer et élaborez et mettez en œuvre des solutions en étroite collaboration avec nos clients internes. | Vous formulez les objectifs, établissez des cahiers des charges fonctionnels et non-fonctionnelles. | Vous utilisez la méthodologie du ""design thinking"" et le prototypage rapide de logiciels. | Vous dirigez des revues continues des processus d'affaires et développez des stratégies d'optimisation. | Vous communiquez efficacement les idées et les plans aux membres de l'équipe multifonctionnelle et à la direction. | Vous vous tenez au courant des derniers processus de requirement engineering et d'analyse des exigences, ainsi que des avancées en matière d'automatisation et de modernisation des systèmes. | Vous assurez que les solutions répondent aux besoins et aux exigences de l'entreprise. | Vous réalisez et/ou soutenez les tests d'acceptation par les utilisateurs.";"Formation universitaire informatique ou titre/parcours jugé équivalent. | 5 ans d'expérience dans la gestion de projets et de l'analyse business. | Excellente capacité d'analyse et de modélisation des besoins utilisateurs. | Forte expérience de réalisation d'architectures applicatives dans des environnements faisant intervenir des composants middlewares interopérables ainsi que des solutions du marché. | Expérience confirmée dans la conduite de projet en mode Agile (Scrum, SaFE, Kanban). | Dynamique, innovateur et motivé par le travail d'équipe, avec une forte attitude ""can-do"" et la capacité d'acquérir rapidement de nouvelles connaissances. | Capable de travailler dans un environnement technique très dynamique et de gérer plusieurs tâches en parallèle. | Excellentes compétences interpersonnelles, de présentation et de communication, y compris une communication orale et écrite claire et précise. | Connaissance d'Atlassian Confluence, ServiceNow, DevOps, Scrum/Agile est un plus. | Bilingue allemand et français avec de bonnes connaissances en anglais, des connaissances en italien sont un plus.";Business Analyst;"Vous évaluez les processus d'entreprise, anticipez les besoins, découvrez les domaines à améliorer et élaborez et mettez en œuvre des solutions en étroite collaboration avec nos clients internes. | Vous formulez les objectifs, établissez des cahiers des charges fonctionnels et non-fonctionnelles. | Vous utilisez la méthodologie du ""design thinking"" et le prototypage rapide de logiciels. | Vous dirigez des revues continues des processus d'affaires et développez des stratégies d'optimisation. | Vous communiquez efficacement les idées et les plans aux membres de l'équipe multifonctionnelle et à la direction. | Vous vous tenez au courant des derniers processus de requirement engineering et d'analyse des exigences, ainsi que des avancées en matière d'automatisation et de modernisation des systèmes. | Vous assurez que les solutions répondent aux besoins et aux exigences de l'entreprise. | Vous réalisez et/ou soutenez les tests d'acceptation par les utilisateurs. Formation universitaire informatique ou titre/parcours jugé équivalent. | 5 ans d'expérience dans la gestion de projets et de l'analyse business. | Excellente capacité d'analyse et de modélisation des besoins utilisateurs. | Forte expérience de réalisation d'architectures applicatives dans des environnements faisant intervenir des composants middlewares interopérables ainsi que des solutions du marché. | Expérience confirmée dans la conduite de projet en mode Agile (Scrum, SaFE, Kanban). | Dynamique, innovateur et motivé par le travail d'équipe, avec une forte attitude ""can-do"" et la capacité d'acquérir rapidement de nouvelles connaissances. | Capable de travailler dans un environnement technique très dynamique et de gérer plusieurs tâches en parallèle. | Excellentes compétences interpersonnelles, de présentation et de communication, y compris une communication orale et écrite claire et précise. | Connaissance d'Atlassian Confluence, ServiceNow, DevOps, Scrum/Agile est un plus. | Bilingue allemand et français avec de bonnes connaissances en anglais, des connaissances en italien sont un plus.";1;General Data Science
246;IT Business Services Manager (all genders);Swiss Timing;2606 Corgémont;Lead end-to-end ERP projects/Change requests involving Microsoft Dynamics 365 F&O, from planning to go-live and post-implementation support | Gather, analyze, and document business requirements across departments such as finance, warehouse, shipping, and human resources | Translate business needs into functional specifications aligned with D365 F&O capabilities | Coordinate cross-functional teams, including internal stakeholders and external implementation partners | Manage project timelines, budgets, risks, and deliverables | Oversee testing phases (UAT, integration, regression) and ensure issue resolution | Drive user adoption through training, documentation, and change management initiatives | Monitor system performance and propose continuous improvements tailored to the sports industry's unique needs;You have a strong customer orientation | Having a service oriented mindset, you are able to ensure a good relationship with the different business departments | Highly motivated, you are ready to travel to CH/DE/CZ and to sports competitions | Travel availability (approximately 20%) in Germany and abroad;Business Analyst;Lead end-to-end ERP projects/Change requests involving Microsoft Dynamics 365 F&O, from planning to go-live and post-implementation support | Gather, analyze, and document business requirements across departments such as finance, warehouse, shipping, and human resources | Translate business needs into functional specifications aligned with D365 F&O capabilities | Coordinate cross-functional teams, including internal stakeholders and external implementation partners | Manage project timelines, budgets, risks, and deliverables | Oversee testing phases (UAT, integration, regression) and ensure issue resolution | Drive user adoption through training, documentation, and change management initiatives | Monitor system performance and propose continuous improvements tailored to the sports industry's unique needs You have a strong customer orientation | Having a service oriented mindset, you are able to ensure a good relationship with the different business departments | Highly motivated, you are ready to travel to CH/DE/CZ and to sports competitions | Travel availability (approximately 20%) in Germany and abroad;1;General Data Science
248;Avaloq Developer / Business Analyst 80-100% (w/m/d);LGT;Zürich;Enge Zusammenarbeit mit Ihrem interdisziplinären, agilen Team. | Übersetzen Sie Geschäftsbedürfnisse in funktionale Spezifikationen für die IT. | Sie entwickeln neue Funktionen in Avaloq und erweitern bestehende Funktionen. | Validierung von Lösungen durch Testen, um sicherzustellen, dass sie die spezifizierten Anforderungen erfüllen und die gewünschten Ergebnisse liefern. | Erstellen und unterstützen Sie Systemlösungen. | Höhere technische Ausbildung und Weiterbildung (Wirtschaftsinformatik, Anwendungsentwicklung) | Fundierte Kenntnisse in Avaloq und seinen Konzepten wie Schnittstellentechnologien, Objektmodell, Workflow-Engine, etc. | Bankfachliche Kenntnisse in Anlageprozessen | Kenntnisse in PL/SQL und Oracle SQL von Vorteil | Flair für konzeptionelles und analytisches Arbeiten (Analyse, lösungsorientiertes Denken) | Fliessendes Englisch in Wort und Schrift, Deutsch ist von Vorteil | Teamfähige und kommunikative, belastbare Persönlichkeit mit Eigeninitiative, Umsetzungsstärke und hoher Sozialkompetenz | Systematische, strukturierte und selbständige Arbeitsweise | Flexible Arbeitsmodelle | Sabbaticals | Mindestens 25 Tage Jahresurlaub, abhängig vom Alter | Optionen für bezahlten Sonderurlaub | Mutterschafts- und Vaterschaftsurlaub, Möglichkeiten für zusätzlichen Elternurlaub | Zusätzlicher Kinderbetreuungszuschuss für entgeltlich fremdbetreute Kinder bis 12 Jahre | Interne Kurse | Externe Kurse an der Liechtenstein Academy | Unterstützung für externe Aus- und Weiterbildungen | Coaching- und Mentoring-Programme | Internationale Einsätze | Intrapreneurship-Programm | Rabatte auf Bankprodukte und Dienstleistungen der LGT | Co-Investments bei der LGT | Rabatte auf Kranken- und Sachversicherungen | Pensionsplan mit individuellen Optionen | Verschiedene Initiativen zur Förderung der Mobilität/E-Mobilität | Anerkennung wichtiger Lebensereignisse | Wellness- und Gesundheitsprogramme | Subventionierte Fitness- und Yoga-Kurse | Gesunde Mahlzeiten | Täglich frisches Obst;no skills found on this job ad;Business Analyst;Enge Zusammenarbeit mit Ihrem interdisziplinären, agilen Team. | Übersetzen Sie Geschäftsbedürfnisse in funktionale Spezifikationen für die IT. | Sie entwickeln neue Funktionen in Avaloq und erweitern bestehende Funktionen. | Validierung von Lösungen durch Testen, um sicherzustellen, dass sie die spezifizierten Anforderungen erfüllen und die gewünschten Ergebnisse liefern. | Erstellen und unterstützen Sie Systemlösungen. | Höhere technische Ausbildung und Weiterbildung (Wirtschaftsinformatik, Anwendungsentwicklung) | Fundierte Kenntnisse in Avaloq und seinen Konzepten wie Schnittstellentechnologien, Objektmodell, Workflow-Engine, etc. | Bankfachliche Kenntnisse in Anlageprozessen | Kenntnisse in PL/SQL und Oracle SQL von Vorteil | Flair für konzeptionelles und analytisches Arbeiten (Analyse, lösungsorientiertes Denken) | Fliessendes Englisch in Wort und Schrift, Deutsch ist von Vorteil | Teamfähige und kommunikative, belastbare Persönlichkeit mit Eigeninitiative, Umsetzungsstärke und hoher Sozialkompetenz | Systematische, strukturierte und selbständige Arbeitsweise | Flexible Arbeitsmodelle | Sabbaticals | Mindestens 25 Tage Jahresurlaub, abhängig vom Alter | Optionen für bezahlten Sonderurlaub | Mutterschafts- und Vaterschaftsurlaub, Möglichkeiten für zusätzlichen Elternurlaub | Zusätzlicher Kinderbetreuungszuschuss für entgeltlich fremdbetreute Kinder bis 12 Jahre | Interne Kurse | Externe Kurse an der Liechtenstein Academy | Unterstützung für externe Aus- und Weiterbildungen | Coaching- und Mentoring-Programme | Internationale Einsätze | Intrapreneurship-Programm | Rabatte auf Bankprodukte und Dienstleistungen der LGT | Co-Investments bei der LGT | Rabatte auf Kranken- und Sachversicherungen | Pensionsplan mit individuellen Optionen | Verschiedene Initiativen zur Förderung der Mobilität/E-Mobilität | Anerkennung wichtiger Lebensereignisse | Wellness- und Gesundheitsprogramme | Subventionierte Fitness- und Yoga-Kurse | Gesunde Mahlzeiten | Täglich frisches Obst no skills found on this job ad;1;General Data Science
251;4 Product Owner Digitalprodukte;Bundesamt für Gesundheit BAG;Liebefeld;Produktverantwortung übernehmen und digitale Lösungen mit Mehrwert entwickeln – im Einklang mit der Strategie des EDI, des Amtes und des Programm DigiSanté | Anforderungen der Benutzer, des Faches und der Stakeholder erfassen, priorisieren und in nutzerzentrierte Features überführen | Eine enge Zusammenarbeit mit dem Entwicklungsteam und den Fachspezialisten pflegen, um Anforderungen und das Produkt zu validieren | Verantwortung über die Weiterentwicklung und den Lifecycle des Digitalproduktes anhand einer klaren Produktvision übernehmen | Den agilen Entwicklungsprozess (SAFe und Scrum) mitgestalten und steuern;Über einen Hochschulabschluss in Medizininformatik, (Wirtschafts-)Informatik oder einer vergleichbaren Fachrichtung verfügen | Mehrjährige Erfahrung als Product Owner und / oder in Business Analyse nachweisen – idealerweise im Gesundheitswesen | Kommunikations- und Moderationsfähigkeit in komplexen, interdisziplinären Umfeldern einsetzen, über analytisches Denkvermögen verfügen, die Fähigkeit besitzen komplexe Anforderungen zu strukturieren sowie Kundenbedürfnisse in Features und User Stories zu übersetzen | Sicheren Umgang mit agilen Frameworks (Scrum, SAFe) und Erfahrung mit Tools wie Jira, Confluence ausweisen | Gute Kenntnisse einer zweiten Amtssprache. Vorteilhaft sind auch gute Englisch-Kenntnisse;Business Analyst;Produktverantwortung übernehmen und digitale Lösungen mit Mehrwert entwickeln – im Einklang mit der Strategie des EDI, des Amtes und des Programm DigiSanté | Anforderungen der Benutzer, des Faches und der Stakeholder erfassen, priorisieren und in nutzerzentrierte Features überführen | Eine enge Zusammenarbeit mit dem Entwicklungsteam und den Fachspezialisten pflegen, um Anforderungen und das Produkt zu validieren | Verantwortung über die Weiterentwicklung und den Lifecycle des Digitalproduktes anhand einer klaren Produktvision übernehmen | Den agilen Entwicklungsprozess (SAFe und Scrum) mitgestalten und steuern Über einen Hochschulabschluss in Medizininformatik, (Wirtschafts-)Informatik oder einer vergleichbaren Fachrichtung verfügen | Mehrjährige Erfahrung als Product Owner und / oder in Business Analyse nachweisen – idealerweise im Gesundheitswesen | Kommunikations- und Moderationsfähigkeit in komplexen, interdisziplinären Umfeldern einsetzen, über analytisches Denkvermögen verfügen, die Fähigkeit besitzen komplexe Anforderungen zu strukturieren sowie Kundenbedürfnisse in Features und User Stories zu übersetzen | Sicheren Umgang mit agilen Frameworks (Scrum, SAFe) und Erfahrung mit Tools wie Jira, Confluence ausweisen | Gute Kenntnisse einer zweiten Amtssprache. Vorteilhaft sind auch gute Englisch-Kenntnisse;1;General Data Science
263;Analyst Karten und Payments (m/w/d) für flexgold;SOLIT Group AG;Tägerwilen;"Mitarbeiter-Rabatt auf SOLIT-Produkte/-Dienstleistungen (Edelmetalle) | Unbefristeter Arbeitsvertrag | Flexible Arbeitszeiten mit Option auf Mobile Office bei einer 40-Stunden-Woche | Paten-System in der Onboarding-Phase | Kostenlose Parkplätze | Kostenlose Getränke, regelmässiges Mitarbeiterfrühstück und frisches Obst | Ein fantastisches Team, welches mit Ehrgeiz und Innovationskraft das Motto ""make money sound again"" vorantreibt";Du unterstützt uns bei der Business Analyse mit dem Schwerpunkt Zahlungsverkehr (Karten) und neue Bezahlverfahren | Du führst Analyse und Konzeption für effiziente Zahlungsverkehrsprozesse und Abwicklungssysteme (im Bereich Kartenzahlungen) durch | Du übernimmst die vergleichende Analyse verschiedener Kartenmanagementsysteme und Bezahlprozesse | Du führst den Austausch mit Banken und Karten-Netzwerken zu technischen, prozessualen und strategischen Themen | Du überwachst kontinuierlich alle Zahlungsprozesse und bleibst stets auf dem neuesten Stand zu Innovationen im Payment-Bereich;Business Analyst;"Mitarbeiter-Rabatt auf SOLIT-Produkte/-Dienstleistungen (Edelmetalle) | Unbefristeter Arbeitsvertrag | Flexible Arbeitszeiten mit Option auf Mobile Office bei einer 40-Stunden-Woche | Paten-System in der Onboarding-Phase | Kostenlose Parkplätze | Kostenlose Getränke, regelmässiges Mitarbeiterfrühstück und frisches Obst | Ein fantastisches Team, welches mit Ehrgeiz und Innovationskraft das Motto ""make money sound again"" vorantreibt Du unterstützt uns bei der Business Analyse mit dem Schwerpunkt Zahlungsverkehr (Karten) und neue Bezahlverfahren | Du führst Analyse und Konzeption für effiziente Zahlungsverkehrsprozesse und Abwicklungssysteme (im Bereich Kartenzahlungen) durch | Du übernimmst die vergleichende Analyse verschiedener Kartenmanagementsysteme und Bezahlprozesse | Du führst den Austausch mit Banken und Karten-Netzwerken zu technischen, prozessualen und strategischen Themen | Du überwachst kontinuierlich alle Zahlungsprozesse und bleibst stets auf dem neuesten Stand zu Innovationen im Payment-Bereich";3;Business / Communication
268;Business Analyst;act digital;Martigny;Technologien & Softwarebereitstellung | Cybersicherheit;Homeoffice ist bei einem Großteil unserer Projekte möglich | Ein Flex-Office-Arbeitsumfeld, das allen jederzeit zur Verfügung steht, um Kommunikation und Zusammenarbeit zu fördern | Experten-Communities zum Teilen und Verbreiten von Kompetenzen innerhalb der Gruppe | Projektleitung und HR-Betreuung vor Ort | Jährlich angebotene Schulungen und Zertifizierungen | Wertschätzung der Expertisewege unserer Berater;Business Analyst;Technologien & Softwarebereitstellung | Cybersicherheit Homeoffice ist bei einem Großteil unserer Projekte möglich | Ein Flex-Office-Arbeitsumfeld, das allen jederzeit zur Verfügung steht, um Kommunikation und Zusammenarbeit zu fördern | Experten-Communities zum Teilen und Verbreiten von Kompetenzen innerhalb der Gruppe | Projektleitung und HR-Betreuung vor Ort | Jährlich angebotene Schulungen und Zertifizierungen | Wertschätzung der Expertisewege unserer Berater;1;General Data Science
269;Agile Business Analyst / Requirements Engineer;ti&m AG;Bern;Abwechslungsreiche Projekte in der agilen Softwareentwicklung – im direkten Mandat beim Kunden oder in ti&m-Projekten, die wir end-to-end für unsere Kunden realisieren | Übernahme unterschiedlicher Rollen im Projektkontext wie Business Analyst, Requirements Engineer oder Product Owner – je nach Phase, Setting und Stärken | Analyse bestehender Geschäftsprozesse, Erarbeitung tragfähiger Konzepte sowie Begleitung der Umsetzung in interdisziplinären Teams | Enge Zusammenarbeit mit Kunden, Engineers, UX-Designern und weiteren Stakeholdern zur Gestaltung funktionaler, tragfähiger Lösungen | Ein inspirierendes Arbeitsumfeld, dass dir viel Gestaltungsspielraum lässt, Eigeninitiative fördert und deine Weiterentwicklung aktiv unterstützt;Mehrjährige Erfahrung (5+ Jahre) als Business Analyst, Requirements Engineer oder Product Owner in der Softwareentwicklung | Sicherer Umgang mit gängigen Methoden im Requirements Engineering und in der agilen Projektführung (z. B. Scrum) – idealerweise ergänzt durch relevante Zertifizierungen (IREB, Scrum, OCEB2 o. ä) | Ausgeprägte Kommunikationsfähigkeit sowie ein sicheres, strukturiertes Auftreten gegenüber Kunden und Entwicklungsteams | Abgeschlossenes Studium in einem technischen oder betriebswirtschaftlichen Fachgebiet (FH/Uni/ETH) | Bereitschaft, vor Ort bei Kunden in der Schweiz zu arbeiten | Sehr gute Deutsch- und Englischkenntnisse in Wort und Schrift;Business Analyst;Abwechslungsreiche Projekte in der agilen Softwareentwicklung – im direkten Mandat beim Kunden oder in ti&m-Projekten, die wir end-to-end für unsere Kunden realisieren | Übernahme unterschiedlicher Rollen im Projektkontext wie Business Analyst, Requirements Engineer oder Product Owner – je nach Phase, Setting und Stärken | Analyse bestehender Geschäftsprozesse, Erarbeitung tragfähiger Konzepte sowie Begleitung der Umsetzung in interdisziplinären Teams | Enge Zusammenarbeit mit Kunden, Engineers, UX-Designern und weiteren Stakeholdern zur Gestaltung funktionaler, tragfähiger Lösungen | Ein inspirierendes Arbeitsumfeld, dass dir viel Gestaltungsspielraum lässt, Eigeninitiative fördert und deine Weiterentwicklung aktiv unterstützt Mehrjährige Erfahrung (5+ Jahre) als Business Analyst, Requirements Engineer oder Product Owner in der Softwareentwicklung | Sicherer Umgang mit gängigen Methoden im Requirements Engineering und in der agilen Projektführung (z. B. Scrum) – idealerweise ergänzt durch relevante Zertifizierungen (IREB, Scrum, OCEB2 o. ä) | Ausgeprägte Kommunikationsfähigkeit sowie ein sicheres, strukturiertes Auftreten gegenüber Kunden und Entwicklungsteams | Abgeschlossenes Studium in einem technischen oder betriebswirtschaftlichen Fachgebiet (FH/Uni/ETH) | Bereitschaft, vor Ort bei Kunden in der Schweiz zu arbeiten | Sehr gute Deutsch- und Englischkenntnisse in Wort und Schrift;1;General Data Science
